# Intensity Error [H,0,0] DeltaE
#  shape: 140x100
2.602948e-05 6.956770e-06 3.175000e+00 6.875000e+01
2.467682e-05 6.595297e-06 3.175000e+00 6.925000e+01
2.559909e-05 7.100014e-06 3.175000e+00 6.975000e+01
2.679916e-05 7.162443e-06 3.175000e+00 7.025000e+01
1.973299e-05 6.240229e-06 3.175000e+00 7.075000e+01
3.019275e-05 8.069607e-06 3.175000e+00 7.125000e+01
2.510571e-05 7.247504e-06 3.175000e+00 7.175000e+01
1.916982e-05 6.777878e-06 3.175000e+00 7.225000e+01
2.066560e-05 6.888770e-06 3.175000e+00 7.275000e+01
2.058825e-05 7.279255e-06 3.175000e+00 7.325000e+01
3.016988e-05 8.709543e-06 3.175000e+00 7.375000e+01
1.087765e-05 5.438980e-06 3.175000e+00 7.425000e+01
1.619790e-05 6.612939e-06 3.175000e+00 7.475000e+01
2.841841e-05 8.987033e-06 3.175000e+00 7.525000e+01
2.240355e-05 7.921080e-06 3.175000e+00 7.575000e+01
1.665210e-05 6.798381e-06 3.175000e+00 7.625000e+01
2.708085e-05 8.563998e-06 3.175000e+00 7.675000e+01
2.368313e-05 7.894398e-06 3.175000e+00 7.725000e+01
1.791445e-05 6.771062e-06 3.175000e+00 7.775000e+01
3.598222e-05 8.995661e-06 3.175000e+00 7.825000e+01
1.825201e-05 6.084081e-06 3.175000e+00 7.875000e+01
1.156439e-05 4.721231e-06 3.175000e+00 7.925000e+01
3.247091e-05 7.875469e-06 3.175000e+00 7.975000e+01
1.518700e-05 5.369521e-06 3.175000e+00 8.025000e+01
2.241736e-05 6.471461e-06 3.175000e+00 8.075000e+01
2.783476e-05 7.187025e-06 3.175000e+00 8.125000e+01
1.508492e-05 5.333407e-06 3.175000e+00 8.175000e+01
2.139783e-05 6.451806e-06 3.175000e+00 8.225000e+01
2.634721e-05 7.307485e-06 3.175000e+00 8.275000e+01
3.403628e-05 8.509118e-06 3.175000e+00 8.325000e+01
1.352753e-05 5.522609e-06 3.175000e+00 8.375000e+01
1.218789e-05 5.450648e-06 3.175000e+00 8.425000e+01
3.388731e-05 9.398675e-06 3.175000e+00 8.475000e+01
2.512892e-05 8.376353e-06 3.175000e+00 8.525000e+01
2.265989e-05 8.564651e-06 3.175000e+00 8.575000e+01
4.714518e-06 4.714518e-06 3.175000e+00 8.625000e+01
0.000000e+00 0.000000e+00 3.175000e+00 8.675000e+01
0.000000e+00 0.000000e+00 3.175000e+00 8.725000e+01
nan nan 3.175000e+00 8.775000e+01
nan nan 3.175000e+00 8.825000e+01
nan nan 3.175000e+00 8.875000e+01
nan nan 3.175000e+00 8.925000e+01
nan nan 3.175000e+00 8.975000e+01
nan nan 3.175000e+00 9.025000e+01
nan nan 3.175000e+00 9.075000e+01
nan nan 3.175000e+00 9.125000e+01
nan nan 3.175000e+00 9.175000e+01
nan nan 3.175000e+00 9.225000e+01
nan nan 3.175000e+00 9.275000e+01
nan nan 3.175000e+00 9.325000e+01
nan nan 3.175000e+00 9.375000e+01
nan nan 3.175000e+00 9.425000e+01
nan nan 3.175000e+00 9.475000e+01
nan nan 3.175000e+00 9.525000e+01
nan nan 3.175000e+00 9.575000e+01
nan nan 3.175000e+00 9.625000e+01
nan nan 3.175000e+00 9.675000e+01
nan nan 3.175000e+00 9.725000e+01
nan nan 3.175000e+00 9.775000e+01
nan nan 3.175000e+00 9.825000e+01
nan nan 3.175000e+00 9.875000e+01
nan nan 3.175000e+00 9.925000e+01
nan nan 3.175000e+00 9.975000e+01
5.286604e-05 1.036837e-05 3.225000e+00 5.025000e+01
6.382352e-05 1.111083e-05 3.225000e+00 5.075000e+01
4.626997e-05 9.254437e-06 3.225000e+00 5.125000e+01
4.703467e-05 9.407528e-06 3.225000e+00 5.175000e+01
5.401906e-05 1.020919e-05 3.225000e+00 5.225000e+01
5.697034e-05 1.040180e-05 3.225000e+00 5.275000e+01
3.887415e-05 8.483380e-06 3.225000e+00 5.325000e+01
4.685357e-05 9.189081e-06 3.225000e+00 5.375000e+01
3.801714e-05 8.105617e-06 3.225000e+00 5.425000e+01
5.782996e-05 9.775586e-06 3.225000e+00 5.475000e+01
5.600999e-05 9.606049e-06 3.225000e+00 5.525000e+01
6.471293e-05 1.078600e-05 3.225000e+00 5.575000e+01
4.701485e-05 9.220637e-06 3.225000e+00 5.625000e+01
5.720943e-05 9.959351e-06 3.225000e+00 5.675000e+01
4.761924e-05 8.999500e-06 3.225000e+00 5.725000e+01
4.798559e-05 8.911001e-06 3.225000e+00 5.775000e+01
3.846147e-05 7.851102e-06 3.225000e+00 5.825000e+01
5.270478e-05 9.466497e-06 3.225000e+00 5.875000e+01
5.539780e-05 9.793459e-06 3.225000e+00 5.925000e+01
4.699190e-05 8.880923e-06 3.225000e+00 5.975000e+01
5.212730e-05 9.215232e-06 3.225000e+00 6.025000e+01
4.574063e-05 8.494156e-06 3.225000e+00 6.075000e+01
4.720877e-05 8.766756e-06 3.225000e+00 6.125000e+01
4.012660e-05 8.191143e-06 3.225000e+00 6.175000e+01
5.527264e-05 9.479553e-06 3.225000e+00 6.225000e+01
4.140406e-05 8.120297e-06 3.225000e+00 6.275000e+01
3.399336e-05 7.247679e-06 3.225000e+00 6.325000e+01
3.587910e-05 7.649567e-06 3.225000e+00 6.375000e+01
3.106953e-05 7.127989e-06 3.225000e+00 6.425000e+01
3.210015e-05 7.178059e-06 3.225000e+00 6.475000e+01
3.626614e-05 7.562220e-06 3.225000e+00 6.525000e+01
4.160426e-05 8.321058e-06 3.225000e+00 6.575000e+01
2.711739e-05 6.779553e-06 3.225000e+00 6.625000e+01
4.256958e-05 8.348803e-06 3.225000e+00 6.675000e+01
3.669200e-05 7.823006e-06 3.225000e+00 6.725000e+01
3.022968e-05 7.331934e-06 3.225000e+00 6.775000e+01
2.426951e-05 6.486420e-06 3.225000e+00 6.825000e+01
2.254654e-05 6.253479e-06 3.225000e+00 6.875000e+01
2.841376e-05 7.336515e-06 3.225000e+00 6.925000e+01
2.697404e-05 6.964852e-06 3.225000e+00 6.975000e+01
1.647573e-05 5.492093e-06 3.225000e+00 7.025000e+01
1.387009e-05 5.242499e-06 3.225000e+00 7.075000e+01
3.170359e-05 7.689446e-06 3.225000e+00 7.125000e+01
2.499728e-05 7.216206e-06 3.225000e+00 7.175000e+01
2.642029e-05 7.327729e-06 3.225000e+00 7.225000e+01
1.951294e-05 6.504526e-06 3.225000e+00 7.275000e+01
3.414997e-05 8.817592e-06 3.225000e+00 7.325000e+01
2.850308e-05 8.228175e-06 3.225000e+00 7.375000e+01
3.661740e-05 9.786445e-06 3.225000e+00 7.425000e+01
1.614981e-05 6.593380e-06 3.225000e+00 7.475000e+01
4.283420e-05 1.105996e-05 3.225000e+00 7.525000e+01
1.745326e-05 7.125352e-06 3.225000e+00 7.575000e+01
1.459630e-05 6.527809e-06 3.225000e+00 7.625000e+01
1.771730e-05 7.233231e-06 3.225000e+00 7.675000e+01
2.588520e-05 8.628595e-06 3.225000e+00 7.725000e+01
1.910838e-05 7.222514e-06 3.225000e+00 7.775000e+01
1.608140e-05 6.565285e-06 3.225000e+00 7.825000e+01
2.102209e-05 7.432598e-06 3.225000e+00 7.875000e+01
2.019393e-05 7.139713e-06 3.225000e+00 7.925000e+01
1.329847e-05 5.429187e-06 3.225000e+00 7.975000e+01
2.404331e-05 6.940790e-06 3.225000e+00 8.025000e+01
5.771340e-06 3.332104e-06 3.225000e+00 8.075000e+01
2.299804e-05 6.639066e-06 3.225000e+00 8.125000e+01
1.706572e-05 5.688641e-06 3.225000e+00 8.175000e+01
2.061509e-05 6.215745e-06 3.225000e+00 8.225000e+01
1.894619e-05 5.991399e-06 3.225000e+00 8.275000e+01
1.964317e-05 6.211793e-06 3.225000e+00 8.325000e+01
1.429001e-05 5.401156e-06 3.225000e+00 8.375000e+01
1.510213e-05 5.708098e-06 3.225000e+00 8.425000e+01
2.527926e-05 7.622016e-06 3.225000e+00 8.475000e+01
